UID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type,Timestamp,later_date,Error,Heat Dissipation Failure,No Failure,Overstrain Failure,Power Failure,Random Failures,Tool Wear Failure,rpm_null
L48657,298.3,309.4,1570.0,35.6,138,0,No Failure,2002-01-31 13:00:00,False,0,0,1,0,0,0,0,False
L48658,298.3,309.4,1568.0,35.8,140,0,No Failure,2002-01-31 14:00:00,False,0,0,1,0,0,0,0,False
L48659,298.2,309.3,1355.0,43.8,142,0,No Failure,2002-01-31 15:00:00,False,0,0,1,0,0,0,0,False
M16340,298.2,309.3,2056.0,18.7,144,0,No Failure,2002-01-31 16:00:00,False,0,0,1,0,0,0,0,False
M16341,298.2,309.2,1332.0,60.2,147,0,No Failure,2002-01-31 17:00:00,False,0,0,1,0,0,0,0,False
M16342,298.1,309.1,,52.5,150,0,No Failure,2002-01-31 18:00:00,False,0,0,1,0,0,0,0,True
L48663,298.0,308.9,1578.0,35.6,153,0,No Failure,2002-01-31 19:00:00,False,0,0,1,0,0,0,0,False
M16344,298.0,309.0,1562.0,39.2,155,0,No Failure,2002-01-31 20:00:00,False,0,0,1,0,0,0,0,False
M16345,298.1,309.0,1976.0,99.1,158,0,No Failure,2002-01-31 21:00:00,False,0,0,1,0,0,0,0,False
M16346,298.2,309.2,1524.0,34.6,161,0,No Failure,2002-01-31 22:00:00,False,0,0,1,0,0,0,0,False
L48667,298.2,309.1,1429.0,48.5,164,0,No Failure,2002-01-31 23:00:00,False,0,0,1,0,0,0,0,False
L48668,298.2,309.1,1568.0,36.3,166,0,No Failure,2002-02-01 00:00:00,False,0,0,1,0,0,0,0,False
M16349,298.2,309.0,1723.0,26.6,168,0,No Failure,2002-02-01 01:00:00,False,0,0,1,0,0,0,0,False
L48670,298.2,309.0,1341.0,43.8,171,0,No Failure,2002-02-01 02:00:00,False,0,0,1,0,0,0,0,False
M16351,298.1,308.9,1353.0,46.2,173,0,No Failure,2002-02-01 03:00:00,False,0,0,1,0,0,0,0,False
M16352,298.0,308.7,1479.0,58.5,176,1,Power Failure,2002-02-01 04:00:00,False,0,0,0,0,1,0,0,False
L48673,298.0,308.8,1496.0,44.9,179,0,No Failure,2002-02-01 05:00:00,False,0,0,1,0,0,0,0,False
M16354,298.0,308.7,,48.5,181,0,No Failure,2002-02-01 06:00:00,False,0,0,1,0,0,0,0,True
H30909,297.9,308.5,1383.0,44.6,184,0,No Failure,2002-02-01 07:00:00,False,0,0,1,0,0,0,0,False
L48676,298.0,308.7,1268.0,69.4,189,1,Power Failure,2002-02-01 08:00:00,False,0,0,0,0,1,0,0,False
L48677,298.0,308.7,1629.0,34.3,191,0,No Failure,2002-02-01 09:00:00,False,0,0,1,0,0,0,0,False
L48678,298.0,308.8,1790.0,27.2,193,0,No Failure,2002-02-01 10:00:00,False,0,0,1,0,0,0,0,False
M16359,298.1,308.8,2206.0,16.3,195,0,No Failure,2002-02-01 11:00:00,False,0,0,1,0,0,0,0,False
M16360,298.0,308.7,2101.0,17.4,198,0,No Failure,2002-02-01 12:00:00,False,0,0,1,0,0,0,0,False
M16361,298.0,308.7,1436.0,48.2,201,0,No Failure,2002-02-01 13:00:00,False,0,0,1,0,0,0,0,False
L48682,298.0,308.7,1462.0,48.2,204,0,No Failure,2002-02-01 14:00:00,False,0,0,1,0,0,0,0,False
L48683,298.0,308.7,1771.0,26.2,206,0,No Failure,2002-02-01 15:00:00,False,0,0,1,0,0,0,0,False
L48684,298.0,308.7,1506.0,47.0,208,0,No Failure,2002-02-01 16:00:00,False,0,0,1,0,0,0,0,False
L48685,298.0,308.7,1626.0,36.7,210,0,No Failure,2002-02-01 17:00:00,False,0,0,1,0,0,0,0,False
L48686,282.0,308.8,1610.0,33.7,212,0,No Failure,2002-02-01 18:00:00,False,0,0,1,0,0,0,0,False
M16367,298.0,308.6,1376.0,55.7,214,0,No Failure,2002-02-01 19:00:00,False,0,0,1,0,0,0,0,False
M16368,282.0,308.6,1507.0,37.3,217,0,No Failure,2002-02-01 20:00:00,False,0,0,1,0,0,0,0,False
L48689,298.0,308.5,1429.0,37.7,220,1,Tool Wear Failure,2002-02-01 21:00:00,False,0,0,0,0,0,0,1,False
M16370,298.1,308.7,1547.0,38.9,0,0,No Failure,2002-02-01 22:00:00,False,0,0,1,0,0,0,0,False
L48691,298.1,308.7,1642.0,30.3,3,0,No Failure,2002-02-01 23:00:00,False,0,0,1,0,0,0,0,False
H30926,298.0,308.7,1503.0,36.3,5,0,No Failure,2002-02-02 00:00:00,False,0,0,1,0,0,0,0,False
L48693,298.1,308.7,1568.0,32.9,10,0,No Failure,2002-02-02 01:00:00,False,0,0,1,0,0,0,0,False
M16374,298.1,308.8,1628.0,37.6,12,0,No Failure,2002-02-02 02:00:00,False,0,0,1,0,0,0,0,False
M16375,298.2,308.9,1614.0,35.5,15,0,No Failure,2002-02-02 03:00:00,False,0,0,1,0,0,0,0,False
L48696,298.2,308.9,1278.0,54.0,18,0,No Failure,2002-02-02 04:00:00,False,0,0,1,0,0,0,0,False
M16377,298.2,308.9,1408.0,38.8,20,0,No Failure,2002-02-02 05:00:00,False,0,0,1,0,0,0,0,False
H30932,298.2,309.0,1371.0,55.7,23,0,No Failure,2002-02-02 06:00:00,False,0,0,1,0,0,0,0,False
M16379,298.2,308.9,1512.0,38.5,28,0,No Failure,2002-02-02 07:00:00,False,0,0,1,0,0,0,0,False
L48700,298.3,309.1,1472.0,40.1,31,0,No Failure,2002-02-02 08:00:00,False,0,0,1,0,0,0,0,False
M16381,298.2,308.9,1585.0,34.3,33,0,No Failure,2002-02-02 09:00:00,False,0,0,1,0,0,0,0,False
H30936,298.2,309.0,1562.0,37.7,36,0,No Failure,2002-02-02 10:00:00,False,0,0,1,0,0,0,0,False
L48703,298.3,309.0,1519.0,36.9,41,0,No Failure,2002-02-02 11:00:00,False,0,0,1,0,0,0,0,False
L48704,298.2,309.0,1601.0,35.8,43,0,No Failure,2002-02-02 12:00:00,False,0,0,1,0,0,0,0,False
L48705,298.2,309.0,2449.0,13.8,45,0,No Failure,2002-02-02 13:00:00,False,0,0,1,0,0,0,0,False
L48706,298.1,309.0,1787.0,27.6,47,0,No Failure,2002-02-02 14:00:00,False,0,0,1,0,0,0,0,False
H30941,298.1,309.1,1425.0,44.5,49,0,No Failure,2002-02-02 15:00:00,False,0,0,1,0,0,0,0,False
L48708,298.1,309.0,1559.0,34.0,54,0,No Failure,2002-02-02 16:00:00,False,0,0,1,0,0,0,0,False
L48709,282.1,309.0,1557.0,36.0,56,0,No Failure,2002-02-02 17:00:00,False,0,0,1,0,0,0,0,False
L48710,298.1,309.0,1497.0,40.5,58,0,No Failure,2002-02-02 18:00:00,False,0,0,1,0,0,0,0,False
H30945,298.1,309.0,1438.0,41.4,60,0,No Failure,2002-02-02 19:00:00,False,0,0,1,0,0,0,0,False
M16392,282.1,308.9,1417.0,39.2,65,0,No Failure,2002-02-02 20:00:00,False,0,0,1,0,0,0,0,False
M16393,298.0,308.9,1339.0,51.4,68,0,No Failure,2002-02-02 21:00:00,False,0,0,1,0,0,0,0,False
L48714,298.0,308.8,1757.0,29.1,71,0,No Failure,2002-02-02 22:00:00,False,0,0,1,0,0,0,0,False
L48715,298.0,308.8,1581.0,36.1,73,0,No Failure,2002-02-02 23:00:00,False,0,0,1,0,0,0,0,False
M16396,298.2,308.9,1326.0,134.2,75,0,No Failure,2002-02-03 00:00:00,False,0,0,1,0,0,0,0,False
M16397,298.4,309.1,1467.0,39.6,78,0,No Failure,2002-02-03 01:00:00,False,0,0,1,0,0,0,0,False
L48718,298.4,309.1,1798.0,29.6,81,0,No Failure,2002-02-03 02:00:00,False,0,0,1,0,0,0,0,False
M16399,298.5,309.2,1449.0,46.4,83,0,No Failure,2002-02-03 03:00:00,False,0,0,1,0,0,0,0,False
M16400,298.4,309.1,1525.0,39.3,86,0,No Failure,2002-02-03 04:00:00,False,0,0,1,0,0,0,0,False
L48721,282.4,309.0,2304.0,15.1,89,0,No Failure,2002-02-03 05:00:00,False,0,0,1,0,0,0,0,False
L48722,298.3,308.9,1379.0,54.7,91,0,No Failure,2002-02-03 06:00:00,False,0,0,1,0,0,0,0,False
L48723,298.4,308.9,1628.0,34.9,93,0,No Failure,2002-02-03 07:00:00,False,0,0,1,0,0,0,0,False
L48724,298.4,309.0,1474.0,52.7,95,0,No Failure,2002-02-03 08:00:00,False,0,0,1,0,0,0,0,False
M16405,298.4,309.0,1544.0,38.8,97,0,No Failure,2002-02-03 09:00:00,False,0,0,1,0,0,0,0,False
L48726,298.4,308.9,1391.0,48.4,100,0,No Failure,2002-02-03 10:00:00,False,0,0,1,0,0,0,0,False
L48727,282.3,308.9,1348.0,55.5,102,0,No Failure,2002-02-03 11:00:00,False,0,0,1,0,0,0,0,False
M16408,298.3,308.8,1349.0,52.1,104,0,No Failure,2002-02-03 12:00:00,False,0,0,1,0,0,0,0,False
L48729,298.4,308.9,1706.0,29.5,107,0,No Failure,2002-02-03 13:00:00,False,0,0,1,0,0,0,0,False
L48730,298.4,308.9,1638.0,32.4,109,0,No Failure,2002-02-03 14:00:00,False,0,0,1,0,0,0,0,False
L48731,298.4,308.8,1458.0,40.1,111,0,No Failure,2002-02-03 15:00:00,False,0,0,1,0,0,0,0,False
L48732,298.5,308.9,1781.0,27.8,113,0,No Failure,2002-02-03 16:00:00,False,0,0,1,0,0,0,0,False
L48733,298.5,308.8,1332.0,59.1,115,0,No Failure,2002-02-03 17:00:00,False,0,0,1,0,0,0,0,False
M16414,298.4,308.7,1584.0,111.5,117,0,No Failure,2002-02-03 18:00:00,False,0,0,1,0,0,0,0,False
L48735,298.4,308.6,1491.0,121.8,120,0,No Failure,2002-02-03 19:00:00,False,0,0,1,0,0,0,0,False
H30970,298.4,308.5,1398.0,47.1,122,0,No Failure,2002-02-03 20:00:00,False,0,0,1,0,0,0,0,False
L48737,298.3,308.4,1585.0,30.6,127,0,No Failure,2002-02-03 21:00:00,False,0,0,1,0,0,0,0,False
M16418,298.2,308.3,1476.0,43.5,129,0,No Failure,2002-02-03 22:00:00,False,0,0,1,0,0,0,0,False
L48739,298.2,308.3,1458.0,41.8,132,0,No Failure,2002-02-03 23:00:00,False,0,0,1,0,0,0,0,False
M16420,298.2,308.4,1510.0,39.9,134,0,No Failure,2002-02-04 00:00:00,False,0,0,1,0,0,0,0,False
L48741,298.2,308.4,1388.0,53.8,137,0,No Failure,2002-02-04 01:00:00,False,0,0,1,0,0,0,0,False
L48742,298.2,308.3,2216.0,16.8,139,0,No Failure,2002-02-04 02:00:00,False,0,0,1,0,0,0,0,False
L48743,298.2,308.3,1402.0,51.0,141,0,No Failure,2002-02-04 03:00:00,False,0,0,1,0,0,0,0,False
M16424,298.0,308.2,2090.0,19.0,143,0,No Failure,2002-02-04 04:00:00,False,0,0,1,0,0,0,0,False
L48745,298.0,308.2,1459.0,42.1,146,0,No Failure,2002-02-04 05:00:00,False,0,0,1,0,0,0,0,False
M16426,298.0,308.1,1403.0,44.8,148,0,No Failure,2002-02-04 06:00:00,False,0,0,1,0,0,0,0,False
L48747,298.1,308.2,1521.0,39.3,151,0,No Failure,2002-02-04 07:00:00,False,0,0,1,0,0,0,0,False
L48748,298.2,308.2,1407.0,126.9,153,0,No Failure,2002-02-04 08:00:00,False,0,0,1,0,0,0,0,False
M16429,298.1,308.2,1654.0,35.3,155,0,No Failure,2002-02-04 09:00:00,False,0,0,1,0,0,0,0,False
L48750,298.2,308.4,1452.0,43.5,158,0,No Failure,2002-02-04 10:00:00,False,0,0,1,0,0,0,0,False
L48751,298.3,308.4,1528.0,37.3,160,0,No Failure,2002-02-04 11:00:00,False,0,0,1,0,0,0,0,False
L48752,298.2,308.3,,139.4,162,0,No Failure,2002-02-04 12:00:00,False,0,0,1,0,0,0,0,True
L48753,298.2,308.2,1466.0,42.4,164,0,No Failure,2002-02-04 13:00:00,False,0,0,1,0,0,0,0,False
L48754,298.2,308.2,1478.0,50.1,166,0,No Failure,2002-02-04 14:00:00,False,0,0,1,0,0,0,0,False
L48755,298.2,308.3,2057.0,18.0,168,0,No Failure,2002-02-04 15:00:00,False,0,0,1,0,0,0,0,False
L48756,298.3,308.4,1490.0,41.7,170,0,No Failure,2002-02-04 16:00:00,False,0,0,1,0,0,0,0,False
L48757,298.3,308.4,1484.0,43.4,172,0,No Failure,2002-02-04 17:00:00,False,0,0,1,0,0,0,0,False
L48758,298.3,308.4,1593.0,37.0,174,0,No Failure,2002-02-04 18:00:00,False,0,0,1,0,0,0,0,False
L48759,298.3,308.3,1444.0,43.8,176,0,No Failure,2002-02-04 19:00:00,False,0,0,1,0,0,0,0,False
M16440,298.3,308.4,1444.0,47.5,178,0,No Failure,2002-02-04 20:00:00,False,0,0,1,0,0,0,0,False
M16441,298.2,308.3,1560.0,33.0,181,0,No Failure,2002-02-04 21:00:00,False,0,0,1,0,0,0,0,False
H30996,298.1,308.3,1530.0,42.0,184,0,No Failure,2002-02-04 22:00:00,False,0,0,1,0,0,0,0,False
L48763,298.2,308.4,1310.0,61.0,189,1,Overstrain Failure,2002-02-04 23:00:00,False,0,0,0,1,0,0,0,False
M16444,298.2,308.3,1639.0,33.3,191,0,No Failure,2002-02-05 00:00:00,False,0,0,1,0,0,0,0,False
L48765,298.2,308.3,1400.0,48.7,194,0,No Failure,2002-02-05 01:00:00,False,0,0,1,0,0,0,0,False
M16446,298.3,308.4,1486.0,44.2,196,0,No Failure,2002-02-05 02:00:00,False,0,0,1,0,0,0,0,False
M16447,298.2,308.3,1448.0,43.3,199,0,No Failure,2002-02-05 03:00:00,False,0,0,1,0,0,0,0,False
L48768,298.2,308.3,1688.0,32.0,202,0,No Failure,2002-02-05 04:00:00,False,0,0,1,0,0,0,0,False
M16449,298.1,308.3,1453.0,41.5,204,0,No Failure,2002-02-05 05:00:00,False,0,0,1,0,0,0,0,False
L48770,298.2,308.4,1497.0,37.7,207,0,No Failure,2002-02-05 06:00:00,False,0,0,1,0,0,0,0,False
L48771,298.2,308.4,1355.0,49.4,209,0,No Failure,2002-02-05 07:00:00,False,0,0,1,0,0,0,0,False
L48772,298.1,308.4,1592.0,38.2,211,0,No Failure,2002-02-05 08:00:00,False,0,0,1,0,0,0,0,False
L48773,298.0,308.3,1544.0,34.7,213,0,No Failure,2002-02-05 09:00:00,False,0,0,1,0,0,0,0,False
M16454,298.0,308.2,1373.0,51.2,215,0,No Failure,2002-02-05 10:00:00,False,0,0,1,0,0,0,0,False
L48775,282.0,308.2,1365.0,52.9,218,1,Overstrain Failure,2002-02-05 11:00:00,False,0,0,0,1,0,0,0,False
L48776,298.0,308.1,1877.0,24.3,0,0,No Failure,2002-02-05 12:00:00,False,0,0,1,0,0,0,0,False
L48777,297.9,308.1,1531.0,40.8,2,0,No Failure,2002-02-05 13:00:00,False,0,0,1,0,0,0,0,False
L48778,297.9,308.0,1501.0,36.7,4,0,No Failure,2002-02-05 14:00:00,False,0,0,1,0,0,0,0,False
L48779,297.9,308.0,1490.0,46.2,6,0,No Failure,2002-02-05 15:00:00,False,0,0,1,0,0,0,0,False
M16460,297.8,307.8,1543.0,43.7,8,0,No Failure,2002-02-05 16:00:00,False,0,0,1,0,0,0,0,False
L48781,297.8,307.8,1597.0,38.2,11,0,No Failure,2002-02-05 17:00:00,False,0,0,1,0,0,0,0,False
H31016,297.8,307.9,1600.0,33.5,13,0,No Failure,2002-02-05 18:00:00,False,0,0,1,0,0,0,0,False
M16463,297.8,307.8,1622.0,32.1,18,0,No Failure,2002-02-05 19:00:00,False,0,0,1,0,0,0,0,False
L48784,297.8,307.8,1452.0,39.8,21,0,No Failure,2002-02-05 20:00:00,False,0,0,1,0,0,0,0,False
L48785,297.8,307.8,1396.0,42.5,23,0,No Failure,2002-02-05 21:00:00,False,0,0,1,0,0,0,0,False
L48786,297.8,307.7,1505.0,39.7,25,0,No Failure,2002-02-05 22:00:00,False,0,0,1,0,0,0,0,False
L48787,297.8,307.8,1412.0,48.3,27,0,No Failure,2002-02-05 23:00:00,False,0,0,1,0,0,0,0,False
L48788,297.8,307.7,1393.0,38.0,29,0,No Failure,2002-02-06 00:00:00,False,0,0,1,0,0,0,0,False
L48789,297.7,307.7,1581.0,34.9,31,0,No Failure,2002-02-06 01:00:00,False,0,0,1,0,0,0,0,False
L48790,297.8,307.8,1573.0,117.7,33,0,No Failure,2002-02-06 02:00:00,False,0,0,1,0,0,0,0,False
M16471,297.8,307.9,1726.0,27.3,35,0,No Failure,2002-02-06 03:00:00,False,0,0,1,0,0,0,0,False
M16472,297.9,307.9,1540.0,39.8,38,0,No Failure,2002-02-06 04:00:00,False,0,0,1,0,0,0,0,False
L48793,297.9,308.0,1296.0,62.9,41,0,No Failure,2002-02-06 05:00:00,False,0,0,1,0,0,0,0,False
M16474,297.8,307.9,1802.0,25.8,43,0,No Failure,2002-02-06 06:00:00,False,0,0,1,0,0,0,0,False
L48795,297.8,307.9,1447.0,48.6,46,0,No Failure,2002-02-06 07:00:00,False,0,0,1,0,0,0,0,False
H31030,297.8,307.8,1662.0,30.7,48,0,No Failure,2002-02-06 08:00:00,False,0,0,1,0,0,0,0,False
L48797,297.8,307.8,1563.0,34.3,53,0,No Failure,2002-02-06 09:00:00,False,0,0,1,0,0,0,0,False
L48798,297.9,307.8,1286.0,59.5,55,0,No Failure,2002-02-06 10:00:00,False,0,0,1,0,0,0,0,False
L48799,297.9,307.7,1590.0,34.6,57,0,No Failure,2002-02-06 11:00:00,False,0,0,1,0,0,0,0,False
L48800,297.9,307.7,1492.0,43.7,59,0,No Failure,2002-02-06 12:00:00,False,0,0,1,0,0,0,0,False
L48801,297.7,307.6,1844.0,101.7,61,0,No Failure,2002-02-06 13:00:00,False,0,0,1,0,0,0,0,False
H31036,297.7,307.6,1538.0,38.3,63,0,No Failure,2002-02-06 14:00:00,False,0,0,1,0,0,0,0,False
L48803,297.7,307.6,1921.0,102.7,68,0,No Failure,2002-02-06 15:00:00,False,0,0,1,0,0,0,0,False
M16484,297.8,307.8,1310.0,57.9,70,0,No Failure,2002-02-06 16:00:00,False,0,0,1,0,0,0,0,False
L48805,297.9,307.8,1365.0,46.9,73,0,No Failure,2002-02-06 17:00:00,False,0,0,1,0,0,0,0,False
M16486,297.9,307.8,1303.0,59.3,75,0,No Failure,2002-02-06 18:00:00,False,0,0,1,0,0,0,0,False
L48807,297.9,307.8,1499.0,37.5,78,0,No Failure,2002-02-06 19:00:00,False,0,0,1,0,0,0,0,False
L48808,297.9,307.8,1451.0,38.2,80,0,No Failure,2002-02-06 20:00:00,False,0,0,1,0,0,0,0,False
M16489,297.9,307.9,1336.0,54.4,82,0,No Failure,2002-02-06 21:00:00,False,0,0,1,0,0,0,0,False
L48810,297.9,307.9,1412.0,124.3,85,0,No Failure,2002-02-06 22:00:00,False,0,0,1,0,0,0,0,False
L48811,298.0,308.0,1433.0,39.2,87,0,No Failure,2002-02-06 23:00:00,False,0,0,1,0,0,0,0,False
L48812,297.9,307.9,1426.0,43.6,89,0,No Failure,2002-02-07 00:00:00,False,0,0,1,0,0,0,0,False
L48813,297.9,307.9,1476.0,125.0,91,0,No Failure,2002-02-07 01:00:00,False,0,0,1,0,0,0,0,False
H31048,297.9,307.9,1406.0,58.5,93,0,No Failure,2002-02-07 02:00:00,False,0,0,1,0,0,0,0,False
L48815,297.8,307.8,1383.0,56.5,98,0,No Failure,2002-02-07 03:00:00,False,0,0,1,0,0,0,0,False
L48816,297.9,307.8,1505.0,37.3,100,0,No Failure,2002-02-07 04:00:00,False,0,0,1,0,0,0,0,False
L48817,297.9,307.8,1665.0,33.9,102,0,No Failure,2002-02-07 05:00:00,False,0,0,1,0,0,0,0,False
L48818,297.9,307.8,1397.0,45.0,104,0,No Failure,2002-02-07 06:00:00,False,0,0,1,0,0,0,0,False
M16499,297.9,307.8,1450.0,43.5,106,0,No Failure,2002-02-07 07:00:00,False,0,0,1,0,0,0,0,False
L48820,298.0,307.8,1567.0,36.4,109,0,No Failure,2002-02-07 08:00:00,False,0,0,1,0,0,0,0,False
M16501,298.0,308.0,1555.0,37.0,111,0,No Failure,2002-02-07 09:00:00,False,0,0,1,0,0,0,0,False
H31056,298.0,307.8,1588.0,35.4,114,0,No Failure,2002-02-07 10:00:00,False,0,0,1,0,0,0,0,False
L48823,298.0,307.8,1453.0,37.7,119,0,No Failure,2002-02-07 11:00:00,False,0,0,1,0,0,0,0,False
L48824,298.0,307.8,1622.0,33.3,121,0,No Failure,2002-02-07 12:00:00,False,0,0,1,0,0,0,0,False
L48825,297.9,307.8,1538.0,38.5,123,0,No Failure,2002-02-07 13:00:00,False,0,0,1,0,0,0,0,False
M16506,297.9,307.7,1527.0,42.8,125,0,No Failure,2002-02-07 14:00:00,False,0,0,1,0,0,0,0,False
L48827,297.8,307.8,1761.0,28.9,128,0,No Failure,2002-02-07 15:00:00,False,0,0,1,0,0,0,0,False
L48828,297.9,307.8,1373.0,50.2,130,0,No Failure,2002-02-07 16:00:00,False,0,0,1,0,0,0,0,False
H31063,298.0,307.9,1482.0,37.8,132,0,No Failure,2002-02-07 17:00:00,False,0,0,1,0,0,0,0,False
M16510,298.0,307.9,1417.0,51.0,137,0,No Failure,2002-02-07 18:00:00,False,0,0,1,0,0,0,0,False
L48831,298.0,307.8,1414.0,51.7,140,0,No Failure,2002-02-07 19:00:00,False,0,0,1,0,0,0,0,False
H31066,297.9,307.8,1635.0,34.0,142,0,No Failure,2002-02-07 20:00:00,False,0,0,1,0,0,0,0,False
L48833,298.0,307.8,1386.0,57.3,147,0,No Failure,2002-02-07 21:00:00,False,0,0,1,0,0,0,0,False
L48834,298.2,308.1,1379.0,62.3,149,0,No Failure,2002-02-07 22:00:00,False,0,0,1,0,0,0,0,False
M16515,298.2,308.0,1577.0,35.9,151,0,No Failure,2002-02-07 23:00:00,False,0,0,1,0,0,0,0,False
L48836,298.2,308.1,1532.0,42.5,154,0,No Failure,2002-02-08 00:00:00,False,0,0,1,0,0,0,0,False
M16517,298.1,308.0,1374.0,48.8,156,0,No Failure,2002-02-08 01:00:00,False,0,0,1,0,0,0,0,False
H31072,298.1,308.0,1570.0,35.3,159,0,No Failure,2002-02-08 02:00:00,False,0,0,1,0,0,0,0,False
L48839,298.1,308.0,1697.0,31.0,164,0,No Failure,2002-02-08 03:00:00,False,0,0,1,0,0,0,0,False
L48840,298.2,308.0,1499.0,123.9,166,0,No Failure,2002-02-08 04:00:00,False,0,0,1,0,0,0,0,False
M16521,298.2,308.0,1411.0,47.2,168,0,No Failure,2002-02-08 05:00:00,False,0,0,1,0,0,0,0,False
H31076,298.2,307.9,1462.0,45.5,171,0,No Failure,2002-02-08 06:00:00,False,0,0,1,0,0,0,0,False
M16523,298.1,307.9,1759.0,28.6,176,0,No Failure,2002-02-08 07:00:00,False,0,0,1,0,0,0,0,False
L48844,298.2,308.0,1535.0,38.0,179,0,No Failure,2002-02-08 08:00:00,False,0,0,1,0,0,0,0,False
H31079,298.2,307.9,1491.0,39.7,181,0,No Failure,2002-02-08 09:00:00,False,0,0,1,0,0,0,0,False
L48846,298.2,307.9,1551.0,36.0,186,0,No Failure,2002-02-08 10:00:00,False,0,0,1,0,0,0,0,False
L48847,298.2,307.9,1769.0,27.2,188,0,No Failure,2002-02-08 11:00:00,False,0,0,1,0,0,0,0,False
L48848,298.2,307.9,1551.0,34.1,190,0,No Failure,2002-02-08 12:00:00,False,0,0,1,0,0,0,0,False
L48849,298.2,307.9,1544.0,31.4,192,0,Error,2002-02-08 13:00:00,False,1,0,0,0,0,0,0,False
L48850,298.2,307.8,1528.0,31.1,194,0,No Failure,2002-02-08 14:00:00,False,0,0,1,0,0,0,0,False
L48851,298.1,307.9,1614.0,35.8,196,0,No Failure,2002-02-08 15:00:00,False,0,0,1,0,0,0,0,False
L48852,298.1,307.8,1432.0,49.8,198,0,No Failure,2002-02-08 16:00:00,False,0,0,1,0,0,0,0,False
M16533,298.1,307.8,1384.0,123.5,200,0,No Failure,2002-02-08 17:00:00,False,0,0,1,0,0,0,0,False
L48854,298.1,307.8,1540.0,37.8,203,0,No Failure,2002-02-08 18:00:00,False,0,0,1,0,0,0,0,False
L48855,298.0,307.7,1407.0,43.9,205,0,No Failure,2002-02-08 19:00:00,False,0,0,1,0,0,0,0,False
H31090,297.9,307.6,1418.0,43.0,207,0,No Failure,2002-02-08 20:00:00,False,0,0,1,0,0,0,0,False
M16537,297.9,307.5,1647.0,110.6,212,0,No Failure,2002-02-08 21:00:00,False,0,0,1,0,0,0,0,False
L48858,298.0,307.5,1644.0,32.8,215,0,No Failure,2002-02-08 22:00:00,False,0,0,1,0,0,0,0,False
L48859,298.0,307.5,1792.0,27.9,217,0,No Failure,2002-02-08 23:00:00,False,0,0,1,0,0,0,0,False
M16540,297.9,307.4,1610.0,34.6,219,0,No Failure,2002-02-09 00:00:00,False,0,0,1,0,0,0,0,False
M16541,297.8,307.3,1804.0,26.0,222,0,No Failure,2002-02-09 01:00:00,False,0,0,1,0,0,0,0,False
H31096,297.9,307.4,1604.0,36.1,225,1,Tool Wear Failure,2002-02-09 02:00:00,False,0,0,0,0,0,0,1,False
M16543,297.9,307.4,1403.0,52.8,0,0,No Failure,2002-02-09 03:00:00,False,0,0,1,0,0,0,0,False
L48864,297.8,307.3,1438.0,44.5,3,0,No Failure,2002-02-09 04:00:00,False,0,0,1,0,0,0,0,False
L48865,297.9,307.3,1824.0,26.3,5,0,No Failure,2002-02-09 05:00:00,False,0,0,1,0,0,0,0,False
H31100,297.9,307.3,1663.0,28.7,7,0,No Failure,2002-02-09 06:00:00,False,0,0,1,0,0,0,0,False
L48867,297.9,307.3,1502.0,36.7,12,0,No Failure,2002-02-09 07:00:00,False,0,0,1,0,0,0,0,False
L48868,297.9,307.4,1606.0,35.5,14,0,No Failure,2002-02-09 08:00:00,False,0,0,1,0,0,0,0,False
L48869,297.9,307.5,1561.0,37.7,16,0,No Failure,2002-02-09 09:00:00,False,0,0,1,0,0,0,0,False
M16550,297.9,307.4,1435.0,122.7,18,0,No Failure,2002-02-09 10:00:00,False,0,0,1,0,0,0,0,False
L48871,297.9,307.5,1602.0,38.3,21,0,No Failure,2002-02-09 11:00:00,False,0,0,1,0,0,0,0,False
M16552,298.1,307.6,,27.7,23,0,No Failure,2002-02-09 12:00:00,False,0,0,1,0,0,0,0,True
H31107,298.0,307.5,1683.0,27.8,26,0,No Failure,2002-02-09 13:00:00,False,0,0,1,0,0,0,0,False
L48874,298.0,307.5,1618.0,35.2,31,0,No Failure,2002-02-09 14:00:00,False,0,0,1,0,0,0,0,False
L48875,298.0,307.6,1509.0,41.6,33,0,No Failure,2002-02-09 15:00:00,False,0,0,1,0,0,0,0,False
L48876,297.9,307.6,1550.0,39.0,35,0,No Failure,2002-02-09 16:00:00,False,0,0,1,0,0,0,0,False
M16557,297.9,307.6,1519.0,44.0,37,0,No Failure,2002-02-09 17:00:00,False,0,0,1,0,0,0,0,False
L48878,297.9,307.6,1481.0,38.0,40,0,No Failure,2002-02-09 18:00:00,False,0,0,1,0,0,0,0,False
L48879,298.1,307.7,1289.0,48.3,42,0,No Failure,2002-02-09 19:00:00,False,0,0,1,0,0,0,0,False
M16560,298.0,307.6,1844.0,23.8,44,0,No Failure,2002-02-09 20:00:00,False,0,0,1,0,0,0,0,False
L48881,298.0,307.7,1479.0,42.5,47,0,No Failure,2002-02-09 21:00:00,False,0,0,1,0,0,0,0,False
L48882,298.0,307.7,1430.0,127.1,49,0,No Failure,2002-02-09 22:00:00,False,0,0,1,0,0,0,0,False
M16563,282.1,307.8,1636.0,36.7,51,0,No Failure,2012-02-09 23:00:00,True,0,0,1,0,0,0,0,False
